Source,Sector,Property No,Room No,Type,Rent,Availability,Notes,PublicRef,ListingIntent,WebsiteStatus,PhotoFolder,WebsiteDescription,SourceInventoryRef,VerificationStatus,InternalNotes,ListingStatusDate,,MediaFolderLink
BDR,Sector 28,Plot 219,302,1BHK,45K–60K,Immediately,,MRH-1143,Rent,Hidden,MRH-1143,1BHK in Sector 28,BDR-Plot 219-302,Pending,,,,https://drive.google.com/drive/folders/1sE2Vm-P4Te8CHfGJ2E_bvufkfaIbQ929
BDR,Sector 28,Plot 219,401,1BHK,45K–60K,Immediately,,MRH-1144,Rent,Hidden,MRH-1144,1BHK in Sector 28,BDR-Plot 219-401,Pending,,,,https://drive.google.com/drive/folders/1am1M7k5pswccX04V32ETK6AwsQVtIWLN
BDR,Sector 28,Plot 219,402,1BHK,45K–60K,Immediately,,MRH-1145,Rent,Hidden,MRH-1145,1BHK in Sector 28,BDR-Plot 219-402,Pending,,,,https://drive.google.com/drive/folders/1YH6CcPKP5awzCICb6IWoyZ90snK523XF
BDR,Sector 53,Plot 729P,G2,1BHK,26K,Immediately,,MRH-1146,Rent,Live,MRH-1146,1BHK in Sector 53,BDR-Plot 729P-G2,Pending,,,,https://drive.google.com/drive/folders/1JbJzJUMXWWlZ7yeLwrEhCp1VUyNTkQeg
BDR,Sector 53,Plot 729P,101,1BHK,26K,Immediately,,MRH-1147,Rent,Hidden,MRH-1147,1BHK in Sector 53,BDR-Plot 729P-101,Pending,,,,https://drive.google.com/drive/folders/1DOU--5unxk3gLrn7gj-V2mkVWY-iEoDh
BDR,Sector 53,Plot 729P,302,1BHK,26K,Immediately,,MRH-1148,Rent,Hidden,MRH-1148,1BHK in Sector 53,BDR-Plot 729P-302,Pending,,,,https://drive.google.com/drive/folders/1Xi_aE_yCbv1qNMy6WfAXQ5hGXH3HJ9Jm
BDR,Sector 53,Plot 729P,401,1BHK,26K,Immediately,,MRH-1149,Rent,Hidden,MRH-1149,1BHK in Sector 53,BDR-Plot 729P-401,Pending,,,,https://drive.google.com/drive/folders/11oka6V-KZK1F9-wpgkYYv1oCwhxFQfig
BDR,Sector 53,Plot 729P,501,1BHK,26K,Immediately,,MRH-1150,Rent,Hidden,MRH-1150,1BHK in Sector 53,BDR-Plot 729P-501,Pending,,,,https://drive.google.com/drive/folders/1jbNLpi8cTgKCXG6QZml7tGdar3dpl2mC
BDR,Sector 43,Plot 2193,G3,1RK,17K,Immediately,,MRH-1151,Rent,Hidden,MRH-1151,1RK in Sector 43,BDR-Plot 2193-G3,Pending,,,,https://drive.google.com/drive/folders/117RgyKpMJ7n2qOE_-K0RBDgiTm9sePwR
BDR,Sector 43,Plot 2193,G4,1RK,17K,Immediately,,MRH-1152,Rent,Hidden,MRH-1152,1RK in Sector 43,BDR-Plot 2193-G4,Pending,,,,https://drive.google.com/drive/folders/1ugGak6zjbrBZAMLwexz0LCAutP2SwCDg
BDR,Sector 43,Plot 2193,201,1RK,22K,Immediately,,MRH-1153,Rent,Featured,MRH-1153,1RK in Sector 43,BDR-Plot 2193-201,Pending,,,,https://drive.google.com/drive/folders/11Bag19_ZhirPDZd6kQwdMLPLPMW0ajUj
